3640	525597.81-66604.774i
3672	369179.5-53544.107i
3704	205313.25-9525.442i
3736	254093.74+20780.619i
3768	467022.23-34691.482i
3800	433241.29-66515.967i
3832	257987.14-16439.76i
3864	191244.4+16326.275i
3896	333956.25-32569.916i
3928	415550.13-65125.885i
3960	340202.63-25869.449i
3992	333412.91+49959.542i
4024	668329.04-1293.5319i
4056	898038.56-69458.471i
4088	817106.88-35549.964i
4120	757238.46+58847.099i
4152	1206701.1+23279.114i
4184	1711336-68356.113i
4216	1816862.5-11346.512i
4248	1907342.3+99727.601i
4280	2382904.5+15014.122i
4312	2766639.9-132506.09i
4344	2689674.6-93283.08i
4376	2526049.3-20668.129i
4408	2564656.1-104839.89i
4440	2627639.8-208093.54i
4472	2377719.2-169010.04i
4504	1906911-96227.296i
4536	1599590.4-100663.35i
4568	1469791.2-156337.56i
4600	1176076.6-151043.12i
4632	740863.59-78429.914i
4664	561751.27-24422.956i
4696	588251.02-71542.168i
4728	519274.84-97115.269i
4760	286655.02-30844.475i
4792	200557.85+30867.451i
4824	264097.97-12535.307i
4856	297161.29-60264.03i
4888	190855.77-36005.243i
4920	119079.99+17616.66i
4952	165165.72+7662.1319i
4984	248811.51-46787.137i
5016	236664.36-37782.67i
5048	174501.91+22863.283i
5080	221354.43+18655.208i
5112	298416.67-42655.522i
5144	316445.66-50718.312i
5176	289389.57+11027.504i
5208	379761.44+14051.353i
5240	516169.58-34804.858i
5272	576866.07-56897.662i
5304	571050.27-10024.456i
5336	624415.67+1926.9176i
5368	699023.46-34643.158i
5400	747756.33-62576.148i
5432	784297.1-35369.581i
5464	814863.88-36425.761i
5496	841406.32-56997.242i
5528	817787.27-79864.045i
5560	721108.87-67340.816i
5592	592823.38-53171.088i
5624	488802.92-45885.365i
5656	425275.01-49998.357i
5688	345141.56-34507.037i
5720	309277.58-30031.761i
5752	282248.09-31000.094i
5784	232396.71-32353.253i
5816	165869.31-24004.782i
5848	151383.26-8634.7539i
5880	136208.14-9990.4831i
5912	111557.51-16957.869i
5944	86289.114-12877.694i
5976	114553.14-10929.094i
6008	145725.16-16108.821i
6040	158084.92-12538.327i
6072	170329.81-6519.5866i
6104	214551.92-5657.3982i
6136	280617.21-12450.484i
6168	330033.54-5364.7811i
6200	392687.62+502.11712i
6232	497368.53+7438.1402i
6264	636080.5+2009.7527i
6296	740066.1-10618.185i
6328	808684.77-7302.3017i
6360	928346.92-9848.8765i
6392	1048131-18206.56i
6424	1113097.4-24929.399i
6456	1146844-31194.542i
6488	1199451.5-42137.601i
6520	1214448.7-53375.085i
6552	1164187.3-66517.553i
6584	1087015.5-69003.057i
6616	993177.69-79010.856i
6648	889644.23-85111.943i
6680	768653.43-76826.907i
6712	654634.5-65483.757i
6744	546448.11-61626.527i
6776	465051.02-60201.331i
6808	370622.3-47076.308i
6840	284016.5-37470.311i
6872	216927.19-30824.279i
6904	186086.28-23191.792i
6936	167164.49-23074.748i
6968	140421.4-9082.0568i
7000	128004.5-14430.483i
7032	132497.99-20415.117i
7064	132948.39-14100.979i
7096	119540.8-15771.564i
7128	110368.39-13790.234i
7160	124180.15-13438.505i
7192	144905.29-14534.269i
7224	153166.98-11673.175i
7256	176310.15-11187.019i
7288	221034.46-4045.2256i
7320	261051.88-9121.3916i
7352	306257.88-593.90079i
7384	370001.63-9441.327i
7416	446041.97-6148.0265i
7448	542132.41-11484.165i
7480	622220.77-15092.791i
7512	687611.7-15740.617i
7544	767893.24-23134.2i
7576	843353.21-23465.749i
7608	866275.32-34740.658i
7640	864479.12-41882.058i
7672	857603.11-54507.88i
7704	825342.84-57242.359i
7736	766142.8-57330.681i
7768	685868.98-62304.649i
7800	603956.46-54552.842i
7832	507155.82-52917.248i
7864	417521.17-50372.48i
7896	338787.45-43602.597i
7928	271433.41-33203.518i
7960	218152.12-29380.641i
7992	171701.74-21389.256i
8024	135897.2-13576.964i
8056	112901.57-12757.665i
8088	106589.72-15038.356i
8120	102112.41-12249.462i
8152	93019.861-12995.705i
8184	98651.095-7931.9208i
8216	109487.87-14670.508i
8248	122860.68-18210.119i
8280	129035.12-15196.151i
8312	145655.52-8722.7025i
8344	169477.42-14182.011i
8376	185611.93-18422.709i
8408	204505.6-17873.514i
8440	215495.73-14517.106i
8472	232927.38-17038.436i
8504	256741.98-20106.689i
8536	277617.73-13740.943i
8568	282693.12-15861.831i
8600	298686.75-12168.456i
8632	318186.98-17092.077i
8664	327614.23-20213.474i
8696	316266.36-15039.405i
8728	317151.96-15961.633i
8760	324320.24-22707.356i
8792	311569.49-20720.315i
8824	289052.16-19572.976i
8856	271367.57-18513.782i
8888	248481-16193.747i
8920	212539.3-22847.036i
8952	186402.28-16518.537i
8984	151937.38-20904.945i
9016	130708.2-10650.565i
9048	105806.39-9351.9904i
9080	88002.765-9466.2946i
9112	78361.414-4272.5935i
9144	64684.115-9176.1273i
9176	58397.328-9082.3924i
9208	49579.138-8896.836i
9240	55880.616-14147.363i
9272	50570.362-5079.7212i
9304	59310.467-4828.1967i
9336	65510.243-4111.7322i
9368	75645.48-652.20882i
9400	81932.559-9045.9893i
9432	90852.118-5527.673i
9464	101677.46+4159.2938i
9496	121311.76-3050.782i
9528	145729.02-17.689456i
9560	165062.73-1491.8226i
9592	183884.99-3319.1321i
9624	200564.45-370.98563i
